movieId,title,similarity_score
3114,Toy Story 2 (1999),0.9312705522388068
2294,Antz (1998),0.9128709291752769
103755,Turbo (2013),0.9128709291752769
65577,"Tale of Despereaux, The (2008)",0.9128709291752769
45074,"Wild, The (2006)",0.9128709291752769
166461,Moana (2016),0.9128709291752769
3754,"Adventures of Rocky and Bullwinkle, The (2000)",0.9128709291752769
53121,Shrek the Third (2007),0.9128709291752769
4016,"Emperor's New Groove, The (2000)",0.9128709291752769
136016,The Good Dinosaur (2015),0.9128709291752769
